Surname               Name               HW1  HW2  HW3  HW4  HW5  EXAM
Surname2339           Name2339            8   10    5    5    9     1
Surname2340           Name2340            7    8    9    1    9     2
Surname2341           Name2341            6   10    4    8   10     6
Surname2342           Name2342            3   10    1    3    8    10
Surname2343           Name2343            8   10    3    3    1     2
Surname2344           Name2344            3   10    1    2    5     9
Surname2345           Name2345           10    6    1   10    7    10
Surname2346           Name2346            6    9    4    1    7     6
Surname2347           Name2347            6    1    6    1    4    10
Surname2348           Name2348            8    8   10    4    6     6
Surname2349           Name2349            6    6    8    9    7     1
Surname2350           Name2350            5   10    2    9    8     4
Surname2351           Name2351            3    8    7    4    6     5
Surname2352           Name2352            5    4    2    6    5     2
Surname2353           Name2353            3    2    4    8    2     1
Surname2354           Name2354            7    5    6   10    5     7
Surname2355           Name2355            4    1    8    2    1     6
Surname2356           Name2356            2    6    9    9   10    10
Surname2357           Name2357            2    2    1    7    1     2
Surname2358           Name2358            6    3    9    3    5     9
Surname2359           Name2359            2    3    3    4    5     8
Surname2360           Name2360            5    3    5    1    8    10
Surname2361           Name2361            7    7    8    3    7     3
Surname2362           Name2362            2    1    5    4    5     4
Surname2363           Name2363            6    7    2    2    7     8
Surname2364           Name2364            9   10    4    6    4     7
Surname2365           Name2365            3    8    5    4    9    10
Surname2366           Name2366            1    9    6    3    9    10
Surname2367           Name2367            1    6    3    6   10     2
Surname2368           Name2368            1    4    3    4    2     2
Surname2369           Name2369            2    5    2    9    6     7
Surname2370           Name2370            4    4    1    6    6     6
Surname2371           Name2371            6    4   10   10    4     5
Surname2372           Name2372            7    4    5    1    9     4
Surname2373           Name2373            4    2    1    2    4     6
Surname2374           Name2374            4    5    6    9    7    10
Surname2375           Name2375            8    5    8    8    4     7
Surname2376           Name2376            6   10    9    9    5     6
Surname2377           Name2377            9    9    6    4    6     8
Surname2378           Name2378            1    6    7    7    9     9
Surname2379           Name2379            9   10   10    4    7     3
Surname2380           Name2380           10    2   10    2   10     9
Surname2381           Name2381            9    7    1    6    5     5
Surname2382           Name2382            2    1    6   10    8     5
Surname2383           Name2383            3    2    9    1    5     6
Surname2384           Name2384            8    8    4    9    1     8
Surname2385           Name2385            9    5    9    7    7     7
Surname2386           Name2386            4    4    4    2    9     2
Surname2387           Name2387            4    2    6    2   10     4
Surname2388           Name2388            7    8    9    5    1    10
Surname2389           Name2389            4    7   10    1    9     3
Surname2390           Name2390            7    6   10    3    7     8
Surname2391           Name2391            2    6    4    3    4     4
Surname2392           Name2392            9    9    7    9    9     7
Surname2393           Name2393            4    1    6    6    8    10
Surname2394           Name2394            4    6    8    2    1     7
Surname2395           Name2395            3    3    8    9    8     7
Surname2396           Name2396            6    2   10    3    7     6
Surname2397           Name2397            1    3    6    2    9    10
Surname2398           Name2398            9    9    4    9   10     6
Surname2399           Name2399           10    7    6    3    5     9
Surname2400           Name2400            5    9    1    6    9     4
Surname2401           Name2401            5    3    5    6    5     2
Surname2402           Name2402            4    4    9    1    2     1
Surname2403           Name2403            8   10    9    2    4     5
Surname2404           Name2404            5   10    4    7    9    10
Surname2405           Name2405            7    6    5    2    8     8
Surname2406           Name2406            8    8    7    1    7     3
Surname2407           Name2407            1    5    7    6    4     5
Surname2408           Name2408            9    7    4    5   10     3
Surname2409           Name2409            5    7    3    1    5     8
Surname2410           Name2410           10    7    2    6    8     4
Surname2411           Name2411            6    4    1    9    4     1
Surname2412           Name2412            7    4    7    1    8     6
Surname2413           Name2413            3    7    9    8    2     2
Surname2414           Name2414            6    9    2   10    4     2
Surname2415           Name2415           10    3    6    4   10     7
Surname2416           Name2416            9    5    4    6    5     8
Surname2417           Name2417            9   10    7    7   10     8
Surname2418           Name2418            3    6    8    6    1     7
Surname2419           Name2419            7    9    9    3    3     4
Surname2420           Name2420            7    4    7   10    1     8
Surname2421           Name2421            4    4    3    9    8     6
Surname2422           Name2422            9    3    3    4    7     1
Surname2423           Name2423            8    3    1    1    5     5
Surname2424           Name2424            6    8    6   10    2    10
Surname2425           Name2425            3    8    1    6    8     4
Surname2426           Name2426            7    8    1    9    5     8
Surname2427           Name2427            9    9    1    4    1     3
Surname2428           Name2428            5   10    4    7    6     1
Surname2429           Name2429            1    6    2    2    6     4
Surname2430           Name2430            9    2    5    6    2     9
Surname2431           Name2431            9    1    4   10   10     3
Surname2432           Name2432            4    1    4    9    9     6
Surname2433           Name2433            7    5    2    3    7    10
Surname2434           Name2434            8    9    7    9    5     8
Surname2435           Name2435            5    5    2   10    3     4
Surname2436           Name2436            8    8    6    9    6     6
Surname2437           Name2437            7    8    1    8    5     3
Surname2438           Name2438            3    8    9    8    3     6
Surname2439           Name2439           10    4    4    2    3     2
Surname2440           Name2440            7    9    5   10    5     7
Surname2441           Name2441            2   10    5    5    3     4
Surname2442           Name2442            5    5    6    9    9     2
Surname2443           Name2443            5    1    9    2   10     8
Surname2444           Name2444            1    2    5    1   10     1
Surname2445           Name2445            8    5    8    4    3     6
Surname2446           Name2446            3   10    1    4    8     1
Surname2447           Name2447           10    2    5    9    4     4
Surname2448           Name2448            2    2    6    4    2     6
Surname2449           Name2449            1    5    2    4    2     3
Surname2450           Name2450            5    3    7    1    5     7
Surname2451           Name2451            6    9    2    9    6     9
Surname2452           Name2452            5    6    5    3    9     7
Surname2453           Name2453           10    6    8    3    5    10
Surname2454           Name2454            3    1    5    4    1     4
Surname2455           Name2455           10    1    8    3    6     9
Surname2456           Name2456            7    1    6    2    4     6
Surname2457           Name2457            6    3    6    1    6     7
Surname2458           Name2458           10    5    1    7    4     8
Surname2459           Name2459            3    7   10    3    4     5
Surname2460           Name2460            4    7   10    6   10     2
Surname2461           Name2461            5    1   10    9    4     4
Surname2462           Name2462            6    3    2    4    4     4
Surname2463           Name2463            8    7    1    3    7     8
Surname2464           Name2464           10   10   10    7    9     9
Surname2465           Name2465            6    3    5    9    3     8
Surname2466           Name2466            5    2    3    6   10     8
Surname2467           Name2467            9    2    1    6    8     3
Surname2468           Name2468            4    4   10    5    8     6
Surname2469           Name2469           10    1    2    4    5     8
Surname2470           Name2470            3    4    7    5    1     3
Surname2471           Name2471            3   10    7    8    1    10
Surname2472           Name2472           10    8    9    7    7     4
Surname2473           Name2473            2    4   10    2    3     5
Surname2474           Name2474            6    1    8    8    9    10
Surname2475           Name2475            3    5   10    1    9     1
Surname2476           Name2476            8    5    3    4    4     3
Surname2477           Name2477           10    3    2    9    7     7
Surname2478           Name2478           10    9    1    9    2     2
Surname2479           Name2479            7    7    7    8    9     7
Surname2480           Name2480            3    7    6    1    4     9
Surname2481           Name2481           10    7    2    4    5     6
Surname2482           Name2482            4    8    5    3    6     9
Surname2483           Name2483            6    9    5    6   10     2
Surname2484           Name2484            7    3    5    7    9     9
Surname2485           Name2485            7    2    9    7    8     6
Surname2486           Name2486            4    7   10    6    1     9
Surname2487           Name2487            9   10    1    6    4    10
Surname2488           Name2488            3    2    6    5    2     5
Surname2489           Name2489            2   10    1    9    1     7
Surname2490           Name2490            7    7    5    4    9     8
Surname2491           Name2491            6    3    6    6    7     9
Surname2492           Name2492            2    3    3    8    5     8
Surname2493           Name2493            1    1    7    7    7     1
Surname2494           Name2494            3   10    7    5    8     6
Surname2495           Name2495            7    5    7   10   10    10
Surname2496           Name2496            5    5    8    6    8     2
Surname2497           Name2497            9    4    2    1    2     7
Surname2498           Name2498            5    3    7    8    2     6
Surname2499           Name2499            2    4    9    9    6     3
Surname2500           Name2500           10    5    3    7    5     7
Surname2501           Name2501            3    6    2    1    8     1
Surname2502           Name2502            5   10    9    2    7     9
Surname2503           Name2503            6    1    2    8    1     2
Surname2504           Name2504            7    4    4    7    6     2
Surname2505           Name2505           10    7    6    4    4     6
Surname2506           Name2506            7    7    8    1    6     4
Surname2507           Name2507           10    4    6   10    4     3
Surname2508           Name2508            9    8    9    7   10     2
Surname2509           Name2509            9    8    9    1    8     7
Surname2510           Name2510            4   10    7    1    1     9
Surname2511           Name2511            4    8   10    7   10     3
Surname2512           Name2512            2    6    3    5    9     4
Surname2513           Name2513            9    5    4    2   10     8
Surname2514           Name2514            1    3    8   10   10     5
Surname2515           Name2515            1    7    8   10    8     9
Surname2516           Name2516            9    4    7    1    9     4
Surname2517           Name2517            8    6    8    4    3     4
Surname2518           Name2518            4    5    6    8    3     2
Surname2519           Name2519            4   10    4    4    9     8
Surname2520           Name2520            4    1    1    9   10     7
Surname2521           Name2521            1    5   10   10    4     5
Surname2522           Name2522            6    4    2    8   10     8
Surname2523           Name2523            1    8    9    2    9     6
Surname2524           Name2524            1    8    3    1    7     4
Surname2525           Name2525            2    6    5    4   10     1
Surname2526           Name2526            5    7    5    1   10     1
Surname2527           Name2527           10   10    5    6    8     9
Surname2528           Name2528            1    5    8    3    2     9
Surname2529           Name2529            3    9    1    7    4     9
Surname2530           Name2530            6    2    8    8    6     8
Surname2531           Name2531            5   10    7    7    6     1
Surname2532           Name2532            2    8    5    8    4    10
Surname2533           Name2533            5    1    5   10    5     8
Surname2534           Name2534            2   10    7    5   10    10
Surname2535           Name2535            2    4   10    3   10     7
Surname2536           Name2536            5    5    5    4   10    10
Surname2537           Name2537            5    1   10    3   10     3
Surname2538           Name2538            4    3    8    5    4     8
Surname2539           Name2539            2   10   10   10    6    10
Surname2540           Name2540            3    5    7    3    9    10
Surname2541           Name2541            4   10    4   10    6     3
Surname2542           Name2542            9    9    5    2    4     1
Surname2543           Name2543            5    2    1    3    3     3
Surname2544           Name2544           10    4    7    7    6     1
Surname2545           Name2545           10    3    3    7    4     1
Surname2546           Name2546            9    4    1    9   10     3
Surname2547           Name2547            7    7   10    7    2     6
Surname2548           Name2548            9    7    3    8    7     5
Surname2549           Name2549            7    6    6    3    4     7
Surname2550           Name2550            8    4    1    2    7    10
Surname2551           Name2551            6    4    3    3   10     7
Surname2552           Name2552            9    5    1    2    7     4
Surname2553           Name2553            5    1    8    4    9     5
Surname2554           Name2554            7    2    7    7    5     2
Surname2555           Name2555            7    5    9   10    7     1
Surname2556           Name2556            2    3    3    9    5    10
Surname2557           Name2557            9   10    6    3    8    10
Surname2558           Name2558            9    9    7    1    3     1
Surname2559           Name2559            7    8    4   10    3     6
Surname2560           Name2560            3    8    4   10    1     8
Surname2561           Name2561            2   10    2    8    7     2
Surname2562           Name2562           10   10    2    2    9     6
Surname2563           Name2563            1    9    6    2    1     8
Surname2564           Name2564           10    9    4    5    6    10
Surname2565           Name2565           10    5   10    1    8     2
Surname2566           Name2566            2    9   10    3    5     6
Surname2567           Name2567            1    7    4   10    4     1
Surname2568           Name2568            2    3    4    8    2     4
Surname2569           Name2569            5    2    4    1    7     2
Surname2570           Name2570            5    6    5    2    4     8
Surname2571           Name2571           10    2    5   10    5    10
Surname2572           Name2572            8    8    2   10    3     9
Surname2573           Name2573            4    1    4    3    6     3
Surname2574           Name2574            6    1    7    1    7     5
Surname2575           Name2575            5    9   10    7    8     5
Surname2576           Name2576            8    7    9   10    2     8
Surname2577           Name2577            1    5    7    9    3     1
Surname2578           Name2578           10   10    1    7    3     5
Surname2579           Name2579            6    8    1    8    6     3
Surname2580           Name2580            5    6    4    9    1     3
Surname2581           Name2581           10    5    7   10    3     4
Surname2582           Name2582            7    9   10    9    2     6
Surname2583           Name2583            2    8    1   10    3     1
Surname2584           Name2584            2    1    6    5    9    10
Surname2585           Name2585            1    1    4    3    8     2
Surname2586           Name2586            2    3    8    2    5     1
Surname2587           Name2587            4    8    7    6    3     2
Surname2588           Name2588            8    1    7    2    6     3
Surname2589           Name2589            2    4    5    8    7     6
Surname2590           Name2590            4    6    6    1    7     1
Surname2591           Name2591           10    7    3    8   10     2
Surname2592           Name2592           10    4    9   10    1     5
Surname2593           Name2593            5    6    3    7    4     9
Surname2594           Name2594            8    8    2    5    6     5
Surname2595           Name2595            2    9    7    5   10     2
Surname2596           Name2596            1    9    9    7    7     1
Surname2597           Name2597            7    4    6    8    3     8
Surname2598           Name2598            7   10    7    5    8     6
Surname2599           Name2599            8    8    6    7    9     2
Surname2600           Name2600            6    1    7    2    4     3
Surname2601           Name2601            6    5    5    4    1    10
Surname2602           Name2602            3    1    1   10    2     5
Surname2603           Name2603            1    4    3    2    3     7
Surname2604           Name2604            1    2    9   10    6     5
Surname2605           Name2605            5    9    3    7    5     1
Surname2606           Name2606            7    9    4    6   10     7
Surname2607           Name2607            3    5    5    3    8     6
Surname2608           Name2608           10    5   10    8    1     4
Surname2609           Name2609            4    4    2   10    5     7
Surname2610           Name2610            6    8    4   10    5    10
Surname2611           Name2611            5    8    8    6    3     5
Surname2612           Name2612            7    6    8    5    7    10
Surname2613           Name2613            2    2    2    6    2     7
Surname2614           Name2614            3    4    8    8    6     5
Surname2615           Name2615            7    5    4    7    8     9
Surname2616           Name2616            1    7    3    4    4     3
Surname2617           Name2617            4    1    2    2    8     9
Surname2618           Name2618            1    8    2    7    9     5
Surname2619           Name2619            3    1    6    2    5     9
Surname2620           Name2620            7    2    5    9    8     1
Surname2621           Name2621            1    3    5    8    8     5
Surname2622           Name2622            9   10    3    9    1     7
Surname2623           Name2623            8    4    8    6    2     7
Surname2624           Name2624            4    5    8    1    3     7
Surname2625           Name2625            7    7    3   10    4     4
Surname2626           Name2626            7    4    8    9    3     6
Surname2627           Name2627            8    3    7    3    1     1
Surname2628           Name2628            4    1    9    2    5     9
Surname2629           Name2629            2   10    1    9    8     6
Surname2630           Name2630            8    7    5    7    7     3
Surname2631           Name2631            5    2    8    3   10     9
Surname2632           Name2632            8    3   10    6    3     2
Surname2633           Name2633            7    4    8    9    1     4
Surname2634           Name2634            6    6    3    9    2     4
Surname2635           Name2635            1    3    1    9    1     3
Surname2636           Name2636            5    9    4    2    3     2
Surname2637           Name2637            8    4    8    6    1     2
Surname2638           Name2638            2    9    5   10    9     4
Surname2639           Name2639           10    4    3    6    4     4
Surname2640           Name2640            1    2   10    3    1     7
Surname2641           Name2641            1   10    3    1   10     4
Surname2642           Name2642            8   10    6    6    6     1
Surname2643           Name2643            5    2    2    3    3     7
Surname2644           Name2644            8    8    3    8    4     8
Surname2645           Name2645            7    1   10    1    8     4
Surname2646           Name2646           10    7    6    9    8     7
Surname2647           Name2647            6    4    7    5    5     1
Surname2648           Name2648            2    1    9    3    7     8
Surname2649           Name2649           10    3    4    1    9     2
Surname2650           Name2650            9    1    7    4    5     6
Surname2651           Name2651            7    5   10    3    1     7
Surname2652           Name2652            5    4    1    6    7     2
Surname2653           Name2653            9    3   10    5    5     5
Surname2654           Name2654            4    5    7   10    6     4
Surname2655           Name2655            5    2    7    1    7     1
Surname2656           Name2656           10    1    9    5   10     7
Surname2657           Name2657            6    5    2    7    9     4
Surname2658           Name2658            7    2    8    2    7     1
Surname2659           Name2659            4    5    9    8    1     8
Surname2660           Name2660            4    3    2    2    1     5
Surname2661           Name2661            3    9    9    1    5    10
Surname2662           Name2662            6    2    3    7    5     5
Surname2663           Name2663            2    2    1    4    4     7
Surname2664           Name2664            3    4    3    5    2     9
Surname2665           Name2665            9    4    6    9   10    10
Surname2666           Name2666            1    8    2    7    6     9
Surname2667           Name2667           10    3    6    8    3     8
Surname2668           Name2668            6    3    9    4    1     9
Surname2669           Name2669           10    6    3    6    8     9
Surname2670           Name2670            6    7    1    6    4     6
Surname2671           Name2671            3   10    7    1    3     1
Surname2672           Name2672            9    4    1   10    5     6
Surname2673           Name2673           10    9    7    3    3     5
Surname2674           Name2674            3    7    2    4    5     4
Surname2675           Name2675            4    7    1    3    3     7
Surname2676           Name2676            6    4    4    9   10    10
Surname2677           Name2677           10   10    9    1    7     7
Surname2678           Name2678            2    4    6    4    8     8
Surname2679           Name2679            3    5    2    3   10     6
Surname2680           Name2680            9   10   10    1    5     7
Surname2681           Name2681            2    2    6    2    8     9
Surname2682           Name2682            6    7    9   10    7     6
Surname2683           Name2683            2    5    5    1    1     6
Surname2684           Name2684            9    2    7    1    2     5
Surname2685           Name2685            5    4   10    7    4     1
Surname2686           Name2686            7    1    3    3    4     3
Surname2687           Name2687            9    9    3    2    7     9
Surname2688           Name2688            5    2   10    2    4     5
Surname2689           Name2689            6    9    6    5    3     6
Surname2690           Name2690            1    9    6    8    2     2
Surname2691           Name2691            8    1    3    8    2     8
Surname2692           Name2692           10    3    6    2    4     7
Surname2693           Name2693            9    1    3    1    2     5
Surname2694           Name2694            7   10    2    3    3     6
Surname2695           Name2695            5   10    2    8    7     4
Surname2696           Name2696            1   10    4   10    4     2
Surname2697           Name2697            4    1    8    6    8     2
Surname2698           Name2698            3    1    8    8    6     6
Surname2699           Name2699            9   10    4    5    7     5
Surname2700           Name2700            4    8    5    1   10     9
Surname2701           Name2701            1    4    6    8    7     8
Surname2702           Name2702            8    6    4    8    9     5
Surname2703           Name2703            1    7    1   10    9     2
Surname2704           Name2704            2    9    1   10   10    10
Surname2705           Name2705            1    5   10    7    1    10
Surname2706           Name2706            9    3    9    1    7     4
Surname2707           Name2707            3   10    5    7    4     4
Surname2708           Name2708            2   10    6    8    2     5
Surname2709           Name2709            4    4    5    9    9     7
Surname2710           Name2710           10    2    6    2    4     9
Surname2711           Name2711            4    6    9    3    1     4
Surname2712           Name2712            6    5    2    5    6     6
Surname2713           Name2713            6    3    6    8    8    10
Surname2714           Name2714            4    1    5    6    8     5
Surname2715           Name2715            2    3   10    3    5     4
Surname2716           Name2716            2    3    7    9    7     7
Surname2717           Name2717            3    1    2    8    3     1
Surname2718           Name2718            9    4    9   10    1     2
Surname2719           Name2719            5    1    2    3    9     7
Surname2720           Name2720            7    7    2    2    4     4
Surname2721           Name2721            6    2   10    4    3    10
Surname2722           Name2722            5    9   10    9    4     6
Surname2723           Name2723            7    4    6    7    1     1
Surname2724           Name2724            9    5    2    2   10     6
Surname2725           Name2725            5    4    8    2    4     2
Surname2726           Name2726            7    3    9    6    3     8
Surname2727           Name2727            4    7    9    9    3     6
Surname2728           Name2728            8    7    6    1    6    10
Surname2729           Name2729            2    1    5    8    7     9
Surname2730           Name2730            6    5    9    3    2     4
Surname2731           Name2731            9    2    7    6    1    10
Surname2732           Name2732            7    4    9    6    1    10
Surname2733           Name2733            5   10   10    3   10     3
Surname2734           Name2734            3    3   10   10    3     3
Surname2735           Name2735            3    8    7    1    2     8
Surname2736           Name2736            9    2    3    7   10     7
Surname2737           Name2737            1    6   10   10    4     3
Surname2738           Name2738           10    2    1    1    4     6
Surname2739           Name2739            8   10    5    7    8     8
Surname2740           Name2740            7    9    9    7    7     8
Surname2741           Name2741            7    7    6   10    5     5
Surname2742           Name2742            9    6    5    4    6     4
Surname2743           Name2743            4    2    9    3    9     5
Surname2744           Name2744            4    8    4    3    5    10
Surname2745           Name2745            8   10    2    2    3     6
Surname2746           Name2746            6    5    4    6    5     9
Surname2747           Name2747            6    3    6    8    9     9
Surname2748           Name2748            6    2   10    3    2     9
Surname2749           Name2749            1    3    7   10   10     4
Surname2750           Name2750            6    5    5    2    9     5
Surname2751           Name2751            2    7    3    2    6    10
Surname2752           Name2752            2    2   10    9    5    10
Surname2753           Name2753           10   10    5    8    4     4
Surname2754           Name2754            9    1    8    3   10     2
Surname2755           Name2755            6    9   10    9    4     5
Surname2756           Name2756           10    2    8    3    9    10
Surname2757           Name2757            7    7   10    4    7     5
Surname2758           Name2758            3   10    8    7    3     5
Surname2759           Name2759            3    8    6    5    1     2
Surname2760           Name2760            5    1    5   10    9     5
Surname2761           Name2761            2    6    6   10    8     6
Surname2762           Name2762            8    5    8    1    1     4
Surname2763           Name2763            4    3    9    7    7     7
Surname2764           Name2764            4    9    3    7    5     2
Surname2765           Name2765            4    9    6    5    8     7
Surname2766           Name2766            6    2    1    7    4     4
Surname2767           Name2767            7    5   10    7    6     4
Surname2768           Name2768            3    2    6    7    4     7
Surname2769           Name2769            5    8    2    9    7     4
Surname2770           Name2770            7    8    8    4    2     6
Surname2771           Name2771            3    2    5    8    7     3
Surname2772           Name2772            9    7    4    9    9     6
Surname2773           Name2773            9    8    9    5    8     1
Surname2774           Name2774            9    2    5    8    2     8
Surname2775           Name2775            8    8    7    8    8     9
Surname2776           Name2776            3    1   10   10    8     4
Surname2777           Name2777            6    5    9    4    3     2
Surname2778           Name2778            5    5    2    5    8     3
Surname2779           Name2779            6    8    1    6    6     5
Surname2780           Name2780            3    4    2    3    5     5
Surname2781           Name2781           10    8    9    3    3     3
Surname2782           Name2782            1    4    6    4    9     7
Surname2783           Name2783           10   10   10    6    2     9
Surname2784           Name2784            7    3    5    8    3     3
Surname2785           Name2785           10    7    5    3   10     3
Surname2786           Name2786            9    6    1    5    7     2
Surname2787           Name2787            3    2    7    8    3     3
Surname2788           Name2788            9    7    2    1   10     9
Surname2789           Name2789            3    6    1    1    8     8
Surname2790           Name2790            8    8   10    3   10     5
Surname2791           Name2791            3    3    2    2    6     9
Surname2792           Name2792            8    4    2    2    2     3
Surname2793           Name2793            2    2    3    3    2     1
Surname2794           Name2794            8   10    1    4    9     2
Surname2795           Name2795            9    7    3    7    5     3
Surname2796           Name2796            6    2    5    8    9     8
Surname2797           Name2797            7    5    3    8    8     7
Surname2798           Name2798            6    8   10    6   10     8
Surname2799           Name2799            3    7    3   10    4     2
Surname2800           Name2800           10    1    3    9   10     9
Surname2801           Name2801            3    4    3    9    9    10
Surname2802           Name2802            5    1    1    7    2     8
Surname2803           Name2803            4    5   10    9    8     3
Surname2804           Name2804            8    7    1    3    6     8
Surname2805           Name2805            1    2    7    2    8     6
Surname2806           Name2806            7    9    7    1   10     4
Surname2807           Name2807           10    8   10    5    3     4
Surname2808           Name2808            3    1    1   10    5     4
Surname2809           Name2809           10    5    7    9    7     1
Surname2810           Name2810            5    5    4    3    7     4
Surname2811           Name2811            3    1   10    3    1     6
Surname2812           Name2812            2    8    4    6    2     5
Surname2813           Name2813            3   10    2   10    3     8
Surname2814           Name2814            1    6    5    4    2     1
Surname2815           Name2815            4    6   10   10    3     2
Surname2816           Name2816            8    1   10    5    2     7
Surname2817           Name2817            6    1    9    7    5     2
Surname2818           Name2818            5    3    3    7    5    10
Surname2819           Name2819            6    4    2    3    9     2
Surname2820           Name2820            5    8    6    4    2     1
Surname2821           Name2821            5    3   10    2    8     2
Surname2822           Name2822           10    5    1    2    1     3
Surname2823           Name2823            8    6    5    3   10     3
Surname2824           Name2824           10    4    3    7    3     4
Surname2825           Name2825            7    7    4    5    9     9
Surname2826           Name2826            6    4   10    2    3     9
Surname2827           Name2827            4    3    2    7   10     3
Surname2828           Name2828            9    9    8    2    4     6
Surname2829           Name2829            1    8    1    3    2     5
Surname2830           Name2830            2    3    4    5    8     8
Surname2831           Name2831            8    1    1    4    7     8
Surname2832           Name2832            2    9   10    8    4     8
Surname2833           Name2833            2    6    9    6    6     2
Surname2834           Name2834            2    3    9    7    8     6
Surname2835           Name2835            3    1    5    4    8     2
Surname2836           Name2836            9    6    4    3   10     9
Surname2837           Name2837            1    2    4    1    3     3
Surname2838           Name2838            4    9    3    5    1     2
Surname2839           Name2839            6   10    2    4    6     4
Surname2840           Name2840            7    5    2    7    1     2
Surname2841           Name2841           10    2    4    6    6     5
Surname2842           Name2842           10   10    2    6    3    10
Surname2843           Name2843            4    4    7    8    6     5
Surname2844           Name2844            8    7    9   10    1     5
Surname2845           Name2845            8    8    7    7   10     5
Surname2846           Name2846            8    4    2    4    5     3
Surname2847           Name2847           10    3    8    2    3     1
Surname2848           Name2848            5    1   10    7    4     6
Surname2849           Name2849            8    4    4   10    8     5
Surname2850           Name2850            5    5    9    8    7     3
Surname2851           Name2851           10    3   10    2    3     2
Surname2852           Name2852            4    2    2    6    9     6
Surname2853           Name2853            1    3    6    1    7     4
Surname2854           Name2854            2    9    5   10   10     5
Surname2855           Name2855            9    9    4    2    5     4
Surname2856           Name2856            2    4    2    7   10     8
Surname2857           Name2857           10    8   10    8    2     6
Surname2858           Name2858            2    5    5    8    1     3
Surname2859           Name2859            7    3    6    7   10     5
Surname2860           Name2860            4    3    1    8    9     9
Surname2861           Name2861            4    6    4    3    2     8
Surname2862           Name2862            4    7    5    2    9     4
Surname2863           Name2863            2    7    5    9    7     4
Surname2864           Name2864            8    3    5    6    1     6
Surname2865           Name2865            4    9    6    7    8    10
Surname2866           Name2866            6    3    8    2    2     9
Surname2867           Name2867            6    2    1    5    5    10
Surname2868           Name2868            4    4    2    7    2     5
Surname2869           Name2869            7    1    1    8    2     8
Surname2870           Name2870            2   10    4    6    3    10
Surname2871           Name2871            9    3    5    7    9     2
Surname2872           Name2872            4    1    6    6    3     7
Surname2873           Name2873            7    1    7    7    6    10
Surname2874           Name2874            5    3    8    7    3     3
Surname2875           Name2875            2    3    8    2   10     2
Surname2876           Name2876            9    7    7    9    9     6
Surname2877           Name2877            9    9   10    7    3     9
Surname2878           Name2878            6    6    1    6    2     5
Surname2879           Name2879            4    9    1   10    7     9
Surname2880           Name2880            4    5    6    8    2    10
Surname2881           Name2881            2    4    8    9   10     8
Surname2882           Name2882            4    9    9    7    1     6
Surname2883           Name2883            4    1    9    7   10     9
Surname2884           Name2884            6    5    4    9    8     4
Surname2885           Name2885            7    9    7    7    9     4
Surname2886           Name2886           10    3    7   10    5     9
Surname2887           Name2887           10    7    2    9    2     5
Surname2888           Name2888            7    2    7    4    6     1
Surname2889           Name2889            2    1    1    9    1     8
Surname2890           Name2890            4   10    4   10    7     4
Surname2891           Name2891            5    6    4    4    2     7
Surname2892           Name2892            7    9    2    8    6     6
Surname2893           Name2893            7    7   10   10    2     8
Surname2894           Name2894            5    1    4   10    3     2
Surname2895           Name2895            4    5   10    3    6     5
Surname2896           Name2896            7    7    1    9    6     1
Surname2897           Name2897            5    2    3    4   10     1
Surname2898           Name2898            4    9    2    6   10     8
Surname2899           Name2899            6    3    7    4    7     2
Surname2900           Name2900            1    3    8    8    5     5
Surname2901           Name2901            5    8    1    8    2     5
Surname2902           Name2902            5    8    3    1    3     8
Surname2903           Name2903            8   10    7    5    9     4
Surname2904           Name2904            6    7    6   10    6    10
Surname2905           Name2905            9    7    3    6    5     1
Surname2906           Name2906            1    8    3    1    9     6
Surname2907           Name2907           10    9    2    3    1     6
Surname2908           Name2908            7    5    6    9    3     3
Surname2909           Name2909            5    3    3    8   10     1
Surname2910           Name2910            8   10    5    3    9     6
Surname2911           Name2911            5    6    4    9   10     5
Surname2912           Name2912            9    2    2    6    9     2
Surname2913           Name2913            5    6    1    2    5     6
Surname2914           Name2914            4   10    1    2    1     7
Surname2915           Name2915            1    3    8    9    8     4
Surname2916           Name2916            8    5    9    9    7     4
Surname2917           Name2917            4    5    6    5    1     6
Surname2918           Name2918           10    2   10    2    3     8
Surname2919           Name2919            1    9    9    9    2     7
Surname2920           Name2920            4    1    6    8    7     4
Surname2921           Name2921            6    4   10    1   10     2
Surname2922           Name2922            2    6    7    5    5     2
Surname2923           Name2923            7    4    3   10    9     4
Surname2924           Name2924           10    7    3    8    4     7
Surname2925           Name2925            7    5    4    8    2     9
Surname2926           Name2926            9    2    7    6    4     1
Surname2927           Name2927            3    2    9    2    7     2
Surname2928           Name2928            7    8    2    6    5     2
Surname2929           Name2929            8    1   10    9    8     3
Surname2930           Name2930            3    5    6    2   10     3
Surname2931           Name2931            9   10    4    6    3     4
Surname2932           Name2932            6    9    3    9    8     3
Surname2933           Name2933            7    2    4    4    3     2
Surname2934           Name2934            5    9    9    5    1     1
Surname2935           Name2935            5    9    3    9    9     7
Surname2936           Name2936            4    8    5    5    7     9
Surname2937           Name2937           10    2    8    3    4     8
Surname2938           Name2938            2    2    4    9    5     9
Surname2939           Name2939            5    7    8    7    5     2
Surname2940           Name2940            3    5    2    6    1     8
Surname2941           Name2941            9    2   10    4    1     5
Surname2942           Name2942            2    5    8    6    9     7
Surname2943           Name2943            6    4    4    8    7     1
Surname2944           Name2944            2   10    3    3    7     8
Surname2945           Name2945            1    6    1    2    3     6
